time,ax,ay,az,wx,wy,wz
2022-02-17 5:48:16.9140 p.m.,0.27,0.23,-1.02,0.38,0.13,-0.57
2022-02-17 5:48:16.9240 p.m.,0.27,0.23,-1.02,0.5,0.31,-0.59
2022-02-17 5:48:16.9340 p.m.,0.61,0.26,-0.96,0.55,0.44,-0.65
2022-02-17 5:48:16.9440 p.m.,0.6,0.56,-0.73,0.59,0.51,-0.75
2022-02-17 5:48:16.9540 p.m.,0.37,0.82,-0.39,0.61,0.5,-0.88
2022-02-17 5:48:16.9640 p.m.,-0.02,0.9,-0.16,0.54,0.52,-0.98
2022-02-17 5:48:16.9740 p.m.,0.02,0.88,0.02,0.44,0.56,-1.05
2022-02-17 5:48:16.9840 p.m.,0.23,1.04,-0.09,0.34,0.65,-1.11
2022-02-17 5:48:16.9940 p.m.,0.37,1.35,-0.38,0.22,0.72,-1.16
2022-02-17 5:48:17.0050 p.m.,0.63,1.61,-0.38,0.04,0.77,-1.22
2022-02-17 5:48:17.0150 p.m.,0.63,1.61,-0.38,-0.18,0.78,-1.28
2022-02-17 5:48:17.0250 p.m.,1.0,1.87,-0.21,-0.42,0.87,-1.38
2022-02-17 5:48:17.0350 p.m.,1.32,2.11,-0.2,-0.42,0.87,-1.38
2022-02-17 5:48:17.0450 p.m.,1.32,2.03,-0.35,-0.74,1.13,-1.44
2022-02-17 5:48:17.0550 p.m.,1.32,2.03,-0.35,-0.77,1.22,-1.45
2022-02-17 5:48:17.0650 p.m.,0.91,2.05,0.22,-0.7,1.14,-1.47
2022-02-17 5:48:17.0750 p.m.,0.15,1.22,1.13,-0.7,1.14,-1.47
2022-02-17 5:48:17.0860 p.m.,-0.58,0.98,2.44,-0.84,0.84,-1.62
2022-02-17 5:48:17.0950 p.m.,-1.69,-0.36,3.25,-1.13,0.64,-1.78
2022-02-17 5:48:17.1050 p.m.,-1.69,-0.36,3.25,-1.45,0.42,-1.9
2022-02-17 5:48:17.1150 p.m.,-1.68,-0.41,2.67,-1.68,0.23,-1.9
2022-02-17 5:48:17.1250 p.m.,-1.54,-0.14,1.47,-1.79,0.15,-1.84
2022-02-17 5:48:17.1350 p.m.,-1.65,0.48,0.2,-1.81,0.22,-1.69
2022-02-17 5:48:17.1450 p.m.,-1.32,1.02,-0.96,-1.77,0.37,-1.51
2022-02-17 5:48:17.1550 p.m.,-0.64,1.08,-1.72,-1.64,0.61,-1.25
2022-02-17 5:48:17.1650 p.m.,0.79,0.84,-1.52,-1.49,0.9,-0.92
2022-02-17 5:48:17.1750 p.m.,0.79,0.84,-1.52,-1.31,1.11,-0.65
2022-02-17 5:48:17.1860 p.m.,1.09,1.04,-0.24,-1.09,1.15,-0.58
2022-02-17 5:48:17.1960 p.m.,1.09,1.04,-0.24,-1.09,1.15,-0.58
2022-02-17 5:48:17.2060 p.m.,0.45,1.22,0.14,-0.82,0.76,-0.5
2022-02-17 5:48:17.2150 p.m.,0.45,1.22,0.14,-0.78,0.54,-0.29
2022-02-17 5:48:17.2260 p.m.,-0.59,0.57,-0.16,-0.78,0.57,-0.12
2022-02-17 5:48:17.2350 p.m.,0.09,-2.1,-0.5,-0.59,0.41,-0.21
2022-02-17 5:48:17.2460 p.m.,-0.76,-3.04,-1.09,-0.35,0.28,-0.29
2022-02-17 5:48:17.2560 p.m.,-0.76,-3.04,-1.09,-0.08,0.25,-0.26
2022-02-17 5:48:17.2660 p.m.,-0.25,-3.61,-1.28,0.21,0.3,-0.2
