time,ax,ay,az,wx,wy,wz
2022-02-17 5:50:24.8430 p.m.,0.04,0.37,0.73,-0.19,-0.14,0.25
2022-02-17 5:50:24.8520 p.m.,0.05,0.49,0.31,-0.24,0.13,0.35
2022-02-17 5:50:24.8630 p.m.,-0.01,0.65,-0.13,-0.29,0.38,0.46
2022-02-17 5:50:24.8730 p.m.,-0.07,0.32,0.05,-0.36,0.51,0.55
2022-02-17 5:50:24.8840 p.m.,-0.07,0.32,0.05,-0.41,0.49,0.59
2022-02-17 5:50:24.8930 p.m.,-0.26,-0.02,0.42,-0.43,0.39,0.59
2022-02-17 5:50:24.9020 p.m.,-0.58,-0.4,0.72,-0.42,0.24,0.59
2022-02-17 5:50:24.9130 p.m.,-0.69,-0.74,0.83,-0.34,0.07,0.59
2022-02-17 5:50:24.9230 p.m.,-0.51,-0.74,0.67,-0.22,-0.06,0.61
2022-02-17 5:50:24.9330 p.m.,-0.33,-0.66,0.27,-0.07,-0.14,0.62
2022-02-17 5:50:24.9430 p.m.,-0.27,-0.66,-0.12,0.08,-0.14,0.63
2022-02-17 5:50:24.9530 p.m.,-0.21,-0.59,-0.54,0.2,-0.02,0.65
2022-02-17 5:50:24.9630 p.m.,0.02,-0.45,-0.93,0.27,0.14,0.66
2022-02-17 5:50:24.9730 p.m.,0.15,-0.38,-1.17,0.3,0.29,0.64
2022-02-17 5:50:24.9830 p.m.,0.13,-0.38,-1.19,0.28,0.42,0.62
2022-02-17 5:50:24.9930 p.m.,0.0,-0.35,-1.03,0.23,0.5,0.6
2022-02-17 5:50:25.0030 p.m.,-0.13,-0.29,-0.81,0.15,0.52,0.6
2022-02-17 5:50:25.0130 p.m.,-0.42,-0.27,-0.48,0.03,0.48,0.64
2022-02-17 5:50:25.0230 p.m.,-0.79,-0.16,-0.02,-0.11,0.43,0.71
2022-02-17 5:50:25.0330 p.m.,-0.97,0.07,0.4,-0.25,0.39,0.81
2022-02-17 5:50:25.0430 p.m.,-0.91,0.19,0.68,-0.36,0.34,0.89
2022-02-17 5:50:25.0530 p.m.,-0.86,0.03,0.8,-0.44,0.24,0.94
2022-02-17 5:50:25.0640 p.m.,-0.78,-0.25,0.97,-0.46,0.07,0.92
2022-02-17 5:50:25.0730 p.m.,-0.75,-0.57,1.08,-0.42,-0.11,0.87
2022-02-17 5:50:25.0840 p.m.,-0.76,-0.88,0.83,-0.34,-0.24,0.81
2022-02-17 5:50:25.0940 p.m.,-0.62,-0.95,0.39,-0.26,-0.27,0.75
2022-02-17 5:50:25.1030 p.m.,-0.32,-0.85,-0.27,-0.17,-0.2,0.7
2022-02-17 5:50:25.1130 p.m.,-0.05,-0.7,-0.96,-0.09,-0.08,0.65
2022-02-17 5:50:25.1240 p.m.,0.11,-0.55,-1.4,-0.03,0.04,0.6
2022-02-17 5:50:25.1330 p.m.,0.19,-0.35,-1.62,0.01,0.1,0.58
2022-02-17 5:50:25.1440 p.m.,0.17,-0.12,-1.68,0.01,0.12,0.58
2022-02-17 5:50:25.1540 p.m.,0.13,0.11,-1.44,-0.02,0.08,0.57
2022-02-17 5:50:25.1640 p.m.,0.06,0.29,-1.14,-0.05,0.03,0.56
2022-02-17 5:50:25.1740 p.m.,0.02,0.36,-0.92,-0.04,-0.04,0.53
2022-02-17 5:50:25.1840 p.m.,-0.11,0.29,-0.87,-0.03,-0.07,0.49
2022-02-17 5:50:25.1940 p.m.,-0.22,0.3,-1.04,-0.03,-0.01,0.47
2022-02-17 5:50:25.2040 p.m.,-0.17,0.44,-1.22,-0.05,0.1,0.46
2022-02-17 5:50:25.2140 p.m.,-0.14,0.63,-1.39,-0.06,0.19,0.47
2022-02-17 5:50:25.2240 p.m.,-0.14,0.75,-1.37,-0.05,0.21,0.46
2022-02-17 5:50:25.2340 p.m.,-0.26,0.72,-1.19,-0.04,0.17,0.42
2022-02-17 5:50:25.2440 p.m.,-0.41,0.61,-0.97,-0.03,0.1,0.39
2022-02-17 5:50:25.2540 p.m.,-0.42,0.56,-0.82,-0.01,0.02,0.37
2022-02-17 5:50:25.2650 p.m.,-0.39,0.63,-0.74,0.02,-0.08,0.36
2022-02-17 5:50:25.2740 p.m.,-0.42,0.67,-0.78,0.04,-0.15,0.34
2022-02-17 5:50:25.2840 p.m.,-0.4,0.75,-0.89,0.04,-0.2,0.32
2022-02-17 5:50:25.2940 p.m.,-0.32,0.84,-1.07,0.02,-0.22,0.29
2022-02-17 5:50:25.3050 p.m.,-0.28,0.86,-1.26,0.0,-0.2,0.25
2022-02-17 5:50:25.3140 p.m.,-0.18,0.87,-1.47,-0.02,-0.15,0.2
2022-02-17 5:50:25.3250 p.m.,-0.05,0.91,-1.7,-0.04,-0.1,0.15
2022-02-17 5:50:25.3340 p.m.,0.09,0.98,-1.83,-0.04,-0.08,0.1
2022-02-17 5:50:25.3450 p.m.,0.17,1.01,-1.75,-0.03,-0.11,0.04
2022-02-17 5:50:25.3540 p.m.,0.22,1.04,-1.54,-0.02,-0.15,-0.01
2022-02-17 5:50:25.3650 p.m.,0.25,1.05,-1.31,0.0,-0.19,-0.04
2022-02-17 5:50:25.3750 p.m.,0.24,1.09,-1.06,0.01,-0.19,-0.05
2022-02-17 5:50:25.3850 p.m.,0.19,1.1,-0.86,0.03,-0.17,-0.04
2022-02-17 5:50:25.3950 p.m.,0.22,1.14,-0.54,0.07,-0.16,-0.05
2022-02-17 5:50:25.4050 p.m.,0.23,1.12,-0.23,0.13,-0.17,-0.09
2022-02-17 5:50:25.4150 p.m.,0.22,0.97,0.14,0.19,-0.18,-0.16
2022-02-17 5:50:25.4250 p.m.,0.2,0.79,0.47,0.24,-0.17,-0.21
2022-02-17 5:50:25.4350 p.m.,0.17,0.72,0.78,0.24,-0.12,-0.26
2022-02-17 5:50:25.4450 p.m.,0.1,0.74,1.04,0.23,-0.07,-0.27
2022-02-17 5:50:25.4550 p.m.,0.16,0.88,1.33,0.24,-0.12,-0.24
2022-02-17 5:50:25.4650 p.m.,0.17,1.21,2.06,0.28,-0.23,-0.23
2022-02-17 5:50:25.4750 p.m.,0.17,1.21,2.06,0.32,-0.35,-0.22
2022-02-17 5:50:25.4850 p.m.,0.24,1.18,2.08,0.29,-0.4,-0.25
2022-02-17 5:50:25.4950 p.m.,0.41,1.06,1.98,0.19,-0.4,-0.29
2022-02-17 5:50:25.5050 p.m.,0.51,0.99,1.94,0.03,-0.36,-0.3
2022-02-17 5:50:25.5160 p.m.,0.64,1.11,2.01,-0.17,-0.29,-0.3
2022-02-17 5:50:25.5250 p.m.,0.75,1.31,2.12,-0.35,-0.18,-0.31
2022-02-17 5:50:25.5360 p.m.,0.64,1.3,2.2,-0.47,-0.06,-0.3
2022-02-17 5:50:25.5450 p.m.,0.4,1.08,2.18,-0.53,0.02,-0.27
2022-02-17 5:50:25.5560 p.m.,0.1,0.8,2.25,-0.56,0.07,-0.24
